Số TT,Mã MH,Tên MH (Tiếng Việt),Tên MH (Tiếng Anh),Còn mở lớp,Đơn vị quản lý chuyên môn,Loại MH,Mã cũ,Mã môn học tương đương,Mã môn học tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
605,MAT11,Giải tích 1,Calculus 1,,BMTL,ĐC,,,,,4,0
606,MAT12,Giải tích 2,Calculus 2,,BMTL,ĐC,,,,,3,0
607,MAT14,Toán rời rạc cho máy tính,Discrete mathematics for computer,,BMTL,ĐC,,,,,3,0
608,MAT21,Toán cao cấp A1 (TE),Advanced Mathematics A1,,BMTL,ĐC,,MA001MAT01,,,4,0
609,MAT22,Toán cao cấp A2 (TE),Advanced Mathematics A2,,BMTL,ĐC,,MA002MAT02,,,4,0
610,MAT23,Đại số tuyến tính,Linear Algebra,,BMTL,ĐC,,LIA01,,,4,0
611,MAT24,Cấu trúc rời rạc (TE),Discrete structures,,BMTL,ĐC,,,,,4,0
612,MATH2144,Giải tích I,Calculus I,,HTTT,ĐC,,MATH2154,,,4,0
613,MATH2153,Giải tích II,Calculus 2,,HTTT,ĐC,MAT12,MATH2154,,MATH2144,3,0
614,MATH2154,Giải tích,Calculus,,HTTT,ĐC,,,,,4,0
615,MATH3013,Đại số tuyến tính,Linear Algebra,,HTTT,ĐC,,,,,3,0
616,ME001,Giáo dục quốc phòng,Military education,,P.ĐTĐH,ĐC,MEDU1,,,,0,0
617,MEDU1,Giáo dục quốc phòng,Military Education,,GDQP,QP,,ME001,,,0,0
618,MKTG4223,Quản trị chuỗi cung ứng,Supply Chain Management,,HTTT,CN,,,,,3,0
619,MKTG5883,Khai phá dữ liệu và ứng dụng,Advanced Data Mining Applications,,HTTT,CN,,,,CS5423,3,1
620,MLPE1,Kinh tế chính trị Mác-Lênin (TE),Marxism–Leninism political economy,,P.ĐTĐH,ĐC,,MLPE2,,,5,0
621,MLPE2,Kinh tế chính trị Mác-Lênin (TE1),Marxism–Leninism political economy,,P.ĐTĐH,ĐC,,,,,4,0
622,MM001,Kỹ năng truyền thông cho người làm CNTT,Communication Skills for IT Professionals,,P.ĐTĐH,TC,,,,,2,1
623,MM002,Truyền thông Kỹ thuật số,Digital Communication,,P.ĐTĐH,TC,,,,,2,1
624,MM003,Quản trị sự kiện,Event Management,,P.ĐTĐH,TC,,,,,2,1
